"Marginalia","Siglum","Folio","Sequence","Incipit","Feast","Office","Genre","Position","Cantus ID","Mode","Finalis","Differentia","Full text (standardized)","Full text (MS spelling)","Volpiano","Indexing notes","Image link","Melody ID","CAO Concordances"
"","US-NYcub Plimpton 41","157v","2","Prudentes virgines aptate lampades vestras ","Comm. un. Virg.Mart.","V","A","2R _","004404 _","4","E","E1a","Prudentes virgines aptate lampades vestras ecce sponsus venit exite obviam ei","Prudentes virgines aptate vestras lampades ecce sponsus venit exite obviam ei","","Rubric: Should there be a second commemoration that day for another virgin and martyr","","",""
"","US-NYcub Plimpton 41","158r","1","Adducentur regi virgines post eam ","Comm. un. Virg.Mart.","V","W","2R _","800008 _","","","","Adducentur regi virgines post eam R. Proxime ejus afferentur tibi","Adducentur regi virgines post eam R. Proxime eius afferentur tibi","","Rubric: Should there be a second commemoration that day for another virgin and martyr","","",""
"","US-NYcub Plimpton 41","158r","2","Simile est regnum caelorum homini ","Comm. unius Virg.","L","A","R _","004954 _","8","G","G1","Simile est regnum caelorum homini negotiatori quaerenti bonas margaritas inventa una pretiosa dedit omnia sua et comparavit eam","Simile est regnum celorum homini negotiatori querenti bonas margaritas inventa una pretiosa dedit omnia sua et comparavit eam","","","","",""
"","US-NYcub Plimpton 41","158v","1","Elegit eam*","Comm. unius Virg.","L","W","R _","008046 _","","","","Elegit eam*","Elegit eam*","","","","",""
"","US-NYcub Plimpton 41","159r","1","Tunc surrexerunt omnes virgines illae ","Comm. Virginum","L","A","R _","005251 _","1","D","G2a","Tunc surrexerunt omnes virgines illae et ornaverunt lampades suas","Tunc surrexerunt omnes virgines ille et ornaverunt lampades suas","","","","",""
"","US-NYcub Plimpton 41","159r","2","Adducentur*","Comm. Virginum","L","W","R _","800008 _","","","","Adducentur*","Adducentur*","","","","",""
"","US-NYcub Plimpton 41","159r","3","Veni electa mea et ponam ","Comm.un.Vir.non Mar.","V","A","R _","005322 _","1","D","A3","Veni electa mea et ponam in te thronum meum alleluia","Veni electa mea et ponam in te thronum meum alleluya","","Rubric: Should there be a second commemoration that day for another virgin not martyr","","",""
"","US-NYcub Plimpton 41","159v","1","Adjuvabit eam deus vultu suo ","Comm.un.Vir.non Mar.","V","W","R _","007934 _","","","","Adjuvabit eam deus vultu suo R. Deus in medio ejus non commovebitur","Adiuvabit eam deus vultu suo R. Deus in medio eius non commovebitur","","Rubric: Should there be a second commemoration that day for another virgin not martyr","","",""
"","US-NYcub Plimpton 41","159v","2","Haec est virgo sapiens quam ","Comm.un.Vir.non Mar.","L","A","R _","003007 _","1","D","F1","Haec est virgo sapiens quam dominus vigilantem invenit","Hec est virgo sapiens quam dominus vigilantem invenit","","","","",""
"","US-NYcub Plimpton 41","160r","1","Perusinae plebi dum imperat mira ","Constantii","L","A","B _","a01084 _","7","G","A1","Perusinae plebi dum imperat mira praesul iste Constantius Christi nomen virtute praedicat caeli regnum dat sibi gladius","Perusine plebi dum imperat mira presul iste Constantius Christi nomen virtute predicat celi regnum dat sibi gladius","","","","",""
"","US-NYcub Plimpton 41","160v","1","Quodcumque vinclis super terram strinxerit ","Cathedra Petri","V","H","01 _","008302d _","4","E","","Quodcumque vinclis super terram strinxerit erit in astris religatum fortiter et quod resolvit in terris arbitrio erit solutum super caeli radium in fine mundi judex erit saeculi","Quodcumque vinclis super terram strinxerit erit in astris religatum fortiter et quod resolvit in terris arbitrio erit solutum super celi radium in fine mundi iudex erit seculi","","","","",""
"","US-NYcub Plimpton 41","161v","1","Gloria patri per immensa saecula ","Cathedra Petri","V","H","02 _","008302h.1 _","4","E","","Gloria patri per immensa saecula sit tibi nate decus et imperium honor potestas sanctoque spiritui sit trinitati salus individua per infinita saeculorum saecula","Gloria patri per immensa secula sit tibi nate decus et imperium honor potestas sanctoque spiritui sit trinitati salus individua per infinita seculorum secula","","","","",""
"","US-NYcub Plimpton 41","162r","1","Jam bone pastor Petre clemens ","Cathedra Petri","L","H","01 _","008268b _","4","E","","Jam bone pastor Petre clemens accipe vota precantum et peccati vincula resolve tibi potestate tradita qua cunctis caelum verbo claudis aperis","Iam bone pastor Petre clemens accipe vota precantum et peccati vincula resolve tibi potestate tradita qua cunctis celum verbo claudis aperis","","","","",""
"","US-NYcub Plimpton 41","163r","1","Sit trinitati sempiterna gloria honor ","Cathedra Petri","L","H","02 _","008268e _","4","E","","Sit trinitati sempiterna gloria honor potestas atque jubilatio in unitate cui manet imperium ex tunc et modo per aeterna saecula. Amen","Sit trinitati sempiterna gloria honor potestas atque iubilatio in unitate cui manet imperium ex tunc et modo per eterna secula. Amen","","","","",""
"","US-NYcub Plimpton 41","163v","1","Deus tuorum militum sors et ","","","H","01 _","008294 _","4","E","","Deus tuorum militum sors et corona praemium laudes canentes martyris absolve nexu criminis","Deus tuorum militum sors et corona premium laudes canentes martyris absolve nexu criminis","","","","",""
"","US-NYcub Plimpton 41","164r","1","Hic nempe mundi gaudia et ","","","H","02 _","008294b _","4","E","","Hic nempe mundi gaudia et blandimenta noxia caduca rite deputans pervenit ad caelestia","Hic nempe mundi gaudia et blandimenta noxia caduca rite deputans pervenit ad celestia","","","","",""
"","US-NYcub Plimpton 41","164r","2","Poenas cucurrit fortiter et sustulit ","","","H","03 _","008294d _","4","E","","Poenas cucurrit fortiter et sustulit viriliter pro te effundens sanguinem aeterna dona possidet","Penas cucurrit fortiter et substulit viriliter pro te effundens sanguinem eterna dona possidet","","","","",""
"","US-NYcub Plimpton 41","164r","3","Ob hoc precatu supplici te ","","","H","04 _","008294h _","4","E","","Ob hoc precatu supplici te poscimus piissime in hoc triumpho martyris dimitte noxam servulis","Ob hoc precatu supplici te poscimus piissime in hoc triumpho martyris dimitte noxam servulis","","","","",""
"","US-NYcub Plimpton 41","164v","1","Laus et perennis gloria deo ","","","H","05 _","008294j.1 _","4","E","","Laus et perennis gloria deo patri et filio sancto simul paraclito in sempiterna saecula. Amen","Laus et perhennis gloria deo patri et filio sancto simul paraclito in sempiterna secula. Amen","","","","",""
"","US-NYcub Plimpton 41","164v","2","Isti sunt sancti qui pro ","","V","A","M _","003442 _","1","D","F1b","Isti sunt sancti qui pro Christi amore minas hominum contempserunt sancti martyres in regnum aeternum exsultant cum angelis o quam pretiosa est mors sanctorum qui assidue assistunt ante dominum et ab invicem non sunt separati","Isti sunt sancti qui pro Christi amore minas hominum contempserunt sancti martyres in regnum eternum exultant cum angelis o quam pretiosa est mors sanctorum qui assidue asistunt ante dominum et ab invicem non sunt separati","","","","",""
"","US-NYcub Plimpton 41","165v","1","Doctor egregie Paule mores instrue ","Conversio Pauli","V","H","1 _","008268c _","4","E","","Doctor egregie Paule mores instrue et mente polum nos transferre satage donec perfectum largiatur plenius evacuato quod ex parte gerimus","Doctor egregie Paule mores instrue et mente polum nos transferre satage donec perfectum largiatur plenius evacuato quod ex parte gerimus","","","","",""
"","US-NYcub Plimpton 41","166v","1","Stolam jucunditatis induit eum dominus ","","V","A","M _","005034 _","3","E","A5","Stolam jucunditatis induit eum dominus et coronam pulchritudinis posuit super caput ejus","Stolam iocunditatis induit eum dominus et coronam pulcritudinis posuit super caput eius","","","","",""
"","US-NYcub Plimpton 41","167r","1","Gloriosae virginis Mariae conceptionem dignissimam ","Conceptio Mariae","V","A","M _","002958 _","1","D","D5","Gloriosae virginis Mariae conceptionem dignissimam recolamus quae et genetricis dignitatem obtinuit et virginalem pudicitiam non amisit","Gloriose virginis Marie conceptionem dignissimam recolamus que et genitricis dignitatem obtinuit et virginalem pudicitiam non amisit","","","","",""
"","US-NYcub Plimpton 41","167v","1","Beata Agnes in medio flammarum ","Agnetis","V","A","M _","001559 _","8","G","G1","Beata Agnes in medio flammarum expansis manibus orabat te deprecor omnipotens adorande colende pater metuende quia per sanctum filium tuum evasi minas sacrilegi tyranni et carnis spurcitias immaculato calle transivi et ecce venio ad te quem amavi quem quaesivi quem semper optavi","Beata Agnes in medio flammarum expansis manibus orabat te deprecor omnipotens adorande colende pater metuende quia per sanctum filium tuum evasi minas sacrilegi tiranni et carnis spurcitias immaculato calle transivi et ecce venio ad te quem amavi quem quesivi quem semper optavi","","","","",""
"","US-NYcub Plimpton 41","169r","1","Ter virgis caesus sum semel ","Pauli","V","A","4 _","005138 _","8","G","G1","Ter virgis caesus sum semel lapidatus sum ter naufragium pertuli pro Christi nomine","Ter virgis cesus sum semel lapidatus sum ter naufragium pertuli pro Christi nomine","","","","",""
"","US-NYcub Plimpton 41","169v","1","Spiritus sanctus in te descendet ","Annuntiatio Mariae","V","A","M _","005006 _","8","G","G1","Spiritus sanctus in te descendet Maria et virtus altissimi obumbrabit tibi ","Spiritus sanctus in te descendet Maria et virtus altissimi obumbrabit tibi ","","","","",""
"","US-NYcub Plimpton 41","169v","2","Gabriel angelus locutus est Mariae ","Annuntiatio Mariae","V2","A","M _","002916 _","7","G","D6","Gabriel angelus locutus est Mariae dicens ave gratia plena dominus tecum benedicta tu in mulieribus","Gabriel angelus locutus est Marie dicens ave gratia plena dominus tecum benedicta tu in mulieribus","","","","",""
"","US-NYcub Plimpton 41","170r","1","Ego sum via veritas et ","Philippi, Jacobi","L","A","B _","002603 _","7","G","D6","Ego sum via veritas et vita nemo venit ad patrem nisi per me alleluia","Ego sum via veritas et vita nemo venit ad patrem nisi per me alleluia","","","","",""
"","US-NYcub Plimpton 41","170r","2","Isti sunt duae olivae et ","Joannis, Pauli","V2","A","M _","003438 _","1","D","G2a","Isti sunt duae olivae et duo candelabra lucentia ante dominum habent potestatem claudere caelum nubibus et aperire portas ejus quia linguae eorum claves caeli factae sunt","Isti sunt due olive et duo candelabra lucentia ante dominum habent potestatem claudere celum nubibus et aperire portas eius quia lingue eorum claves celi facte sunt","","","","",""
