_pid,_asset_data.original_filename,_doi,title-1:title_sort_portion
cul:tx95x69qx3,pl41_312_156v.tif,doi:10.7916/D8612H3J,Leaf 156 - Verso
cul:j9kd51c6xd,pl41_313_157r.tif,doi:10.7916/D89S37TJ,Leaf 157 - Recto
cul:dfn2z34w8v,pl41_314_157v.tif,doi:10.7916/D8ST96MD,Leaf 157 - Verso
cul:b8gtht782j,pl41_315_158r.tif,doi:10.7916/D8281RD8,Leaf 158 - Recto
cul:pvmcvdnf6w,pl41_316_158v.tif,doi:10.7916/D8P28G0R,Leaf 158 - Verso
cul:rbnzs7h5t5,pl41_317_159r.tif,doi:10.7916/D8XK9Z99,Leaf 159 - Recto
cul:gmsbcc2h9n,pl41_318_159v.tif,doi:10.7916/D88S66P5,Leaf 159 - Verso
cul:1vhhmgqq54,pl41_319_160r.tif,doi:10.7916/D8J97Q7K,Leaf 160 - Recto
cul:905qfttggq,pl41_320_160v.tif,doi:10.7916/D8DJ6ZFZ,Leaf 160 - Verso
cul:v9s4mw6nwc,pl41_321_161r.tif,doi:10.7916/D8515G12,Leaf 161 - Recto
cul:41ns1rnb7z,pl41_322_161v.tif,doi:10.7916/D81C3DM9,Leaf 161 - Verso
cul:n02v6wwrkw,pl41_323_162r.tif,doi:10.7916/D8RV25KX,Leaf 162 - Recto
cul:08kprr4zzw,pl41_324_162v.tif,doi:10.7916/D8WM2X6X,Leaf 162 - Verso
cul:dz08kprss1,pl41_325_163r.tif,doi:10.7916/D8N31DSM,Leaf 163 - Recto
cul:6djh9w0xft,pl41_326_163v.tif,doi:10.7916/D8HB0P0D,Leaf 163 - Verso
cul:jm63xsj5g3,pl41_327_164r.tif,doi:10.7916/D8CJ9X7P,Leaf 164 - Recto
cul:6t1g1jwvdj,pl41_328_164v.tif,doi:10.7916/D87S95JS,Leaf 164 - Verso
cul:w9ghx3fgzf,pl41_329_165r.tif,doi:10.7916/D844748J,Leaf 165 - Recto
cul:dv41ns1tb0,pl41_330_165v.tif,doi:10.7916/D80C6CMQ,Leaf 165 - Verso
cul:2ngf1vhk9d,pl41_331_166r.tif,doi:10.7916/D8VM5W4F,Leaf 166 - Recto
cul:8kprr4xjjv,pl41_332_166v.tif,doi:10.7916/D8M34CJW,Leaf 166 - Verso
cul:vt4b8gtkfs,pl41_333_167r.tif,doi:10.7916/D8QV54CN,Leaf 167 - Recto
cul:59zw3r23v2,pl41_334_167v.tif,doi:10.7916/D8GB3MT5,Leaf 167 - Verso
cul:r7sqv9s687,pl41_335_168r.tif,doi:10.7916/D8BK2W5R,Leaf 168 - Recto
cul:g79cnp5k90,pl41_336_168v.tif,doi:10.7916/D835036M,Leaf 168 - Verso
cul:mpg4f4qt3d,pl41_337_169r.tif,doi:10.7916/D8TM8TZ6,Leaf 169 - Recto
cul:05qfttf0mt,pl41_338_169v.tif,doi:10.7916/D8ZC9KRT,Leaf 169 - Verso
cul:70rxwdbtdk,pl41_339_170r.tif,doi:10.7916/D86X0TVB,Leaf 170 - Recto
cul:7h44j0zqzg,pl41_340_170v.tif,doi:10.7916/D8K37BDH,Leaf 170 - Verso
cul:rfj6q575bc,pl41_341_171r.tif,doi:10.7916/D8PV835C,Leaf 171 - Recto
cul:dfn2z34w8w,pl41_342_171v.tif,doi:10.7916/D8FB6KRP,Leaf 171 - Verso
cul:j0zpc868dv,pl41_343_172r.tif,doi:10.7916/D85X3SRD,Leaf 172 - Recto
cul:gxd2547fvj,pl41_344_172v.tif,doi:10.7916/D89P4JD7,Leaf 172 - Verso
